codigo_comuna,nombre_comuna,codigo_provincia,codigo_region,nombre_region
1101,IQUIQUE,11,1,Tarapacá
1107,ALTO HOSPICIO,11,1,Tarapacá
1401,POZO ALMONTE,14,1,Tarapacá
1402,CAMIÑA,14,1,Tarapacá
1403,COLCHANE,14,1,Tarapacá
1404,HUARA,14,1,Tarapacá
1405,PICA,14,1,Tarapacá
2101,ANTOFAGASTA,21,2,Antofagasta
2102,MEJILLONES,21,2,Antofagasta
2103,SIERRA GORDA,21,2,Antofagasta
2104,TALTAL,21,2,Antofagasta
2201,CALAMA,22,2,Antofagasta
2202,OLLAGÜE,22,2,Antofagasta
2203,SAN PEDRO DE ATACAMA,22,2,Antofagasta
2301,TOCOPILLA,23,2,Antofagasta
2302,MARÍA ELENA,23,2,Antofagasta
3101,COPIAPÓ,31,3,Atacama
3102,CALDERA,31,3,Atacama
3103,TIERRA AMARILLA,31,3,Atacama
3201,CHAÑARAL,32,3,Atacama
3202,DIEGO DE ALMAGRO,32,3,Atacama
3301,VALLENAR,33,3,Atacama
3302,ALTO DEL CARMEN,33,3,Atacama
3303,FREIRINA,33,3,Atacama
3304,HUASCO,33,3,Atacama
4101,LA SERENA,41,4,Coquimbo
4102,COQUIMBO,41,4,Coquimbo
4103,ANDACOLLO,41,4,Coquimbo
4104,LA HIGUERA,41,4,Coquimbo
4105,PAIGUANO,41,4,Coquimbo
4106,VICUÑA,41,4,Coquimbo
4201,ILLAPEL,42,4,Coquimbo
4202,CANELA,42,4,Coquimbo
4203,LOS VILOS,42,4,Coquimbo
4204,SALAMANCA,42,4,Coquimbo
4301,OVALLE,43,4,Coquimbo
4302,COMBARBALÁ,43,4,Coquimbo
4303,MONTE PATRIA,43,4,Coquimbo
4304,PUNITAQUI,43,4,Coquimbo
4305,RÍO HURTADO,43,4,Coquimbo
5101,VALPARAÍSO,51,5,Valparaíso
5102,CASABLANCA,51,5,Valparaíso
5103,CONCÓN,51,5,Valparaíso
5104,JUAN FERNÁNDEZ,51,5,Valparaíso
5105,PUCHUNCAVÍ,51,5,Valparaíso
5107,QUINTERO,51,5,Valparaíso
5109,VIÑA DEL MAR,51,5,Valparaíso
5201,ISLA DE PASCUA,52,5,Valparaíso
5301,LOS ANDES,53,5,Valparaíso
5302,CALLE LARGA,53,5,Valparaíso
5303,RINCONADA,53,5,Valparaíso
5304,SAN ESTEBAN,53,5,Valparaíso
5401,LA LIGUA,54,5,Valparaíso
5402,CABILDO,54,5,Valparaíso
5403,PAPUDO,54,5,Valparaíso
5404,PETORCA,54,5,Valparaíso
5405,ZAPALLAR,54,5,Valparaíso
5501,QUILLOTA,55,5,Valparaíso
5502,CALERA,55,5,Valparaíso
5503,HIJUELAS,55,5,Valparaíso
5504,LA CRUZ,55,5,Valparaíso
5506,NOGALES,55,5,Valparaíso
5601,SAN ANTONIO,56,5,Valparaíso
5602,ALGARROBO,56,5,Valparaíso
5603,CARTAGENA,56,5,Valparaíso
5604,EL QUISCO,56,5,Valparaíso
5605,EL TABO,56,5,Valparaíso
5606,SANTO DOMINGO,56,5,Valparaíso
5701,SAN FELIPE,57,5,Valparaíso
5702,CATEMU,57,5,Valparaíso
5703,LLAILLAY,57,5,Valparaíso
5704,PANQUEHUE,57,5,Valparaíso
5705,PUTAENDO,57,5,Valparaíso
5706,SANTA MARÍA,57,5,Valparaíso
5801,QUILPUÉ,58,5,Valparaíso
5802,LIMACHE,58,5,Valparaíso
5803,OLMUÉ,58,5,Valparaíso
5804,VILLA ALEMANA,58,5,Valparaíso
6101,RANCAGUA,61,6,Libertador General Bernardo O'Higgins
6102,CODEGUA,61,6,Libertador General Bernardo O'Higgins
6103,COINCO,61,6,Libertador General Bernardo O'Higgins
6104,COLTAUCO,61,6,Libertador General Bernardo O'Higgins
6105,DOÑIHUE,61,6,Libertador General Bernardo O'Higgins
6106,GRANEROS,61,6,Libertador General Bernardo O'Higgins
6107,LAS CABRAS,61,6,Libertador General Bernardo O'Higgins
6108,MACHALÍ,61,6,Libertador General Bernardo O'Higgins
6109,MALLOA,61,6,Libertador General Bernardo O'Higgins
6110,MOSTAZAL,61,6,Libertador General Bernardo O'Higgins
6111,OLIVAR,61,6,Libertador General Bernardo O'Higgins
6112,PEUMO,61,6,Libertador General Bernardo O'Higgins
6113,PICHIDEGUA,61,6,Libertador General Bernardo O'Higgins
6114,QUINTA DE TILCOCO,61,6,Libertador General Bernardo O'Higgins
6115,RENGO,61,6,Libertador General Bernardo O'Higgins
6116,REQUINOA,61,6,Libertador General Bernardo O'Higgins
6117,SAN VICENTE,61,6,Libertador General Bernardo O'Higgins
6201,PICHILEMU,62,6,Libertador General Bernardo O'Higgins
6202,LA ESTRELLA,62,6,Libertador General Bernardo O'Higgins
6203,LITUECHE,62,6,Libertador General Bernardo O'Higgins
6204,MARCHIHUE,62,6,Libertador General Bernardo O'Higgins
6205,NAVIDAD,62,6,Libertador General Bernardo O'Higgins
6206,PAREDONES,62,6,Libertador General Bernardo O'Higgins
6301,SAN FERNANDO,63,6,Libertador General Bernardo O'Higgins
6302,CHÉPICA,63,6,Libertador General Bernardo O'Higgins
6303,CHIMBARONGO,63,6,Libertador General Bernardo O'Higgins
6304,LOLOL,63,6,Libertador General Bernardo O'Higgins
6305,NANCAGUA,63,6,Libertador General Bernardo O'Higgins
6306,PALMILLA,63,6,Libertador General Bernardo O'Higgins
6307,PERALILLO,63,6,Libertador General Bernardo O'Higgins
6308,PLACILLA,63,6,Libertador General Bernardo O'Higgins
6309,PUMANQUE,63,6,Libertador General Bernardo O'Higgins
6310,SANTA CRUZ,63,6,Libertador General Bernardo O'Higgins
7101,TALCA,71,7,Maule
7102,CONSTITUCIÓN,71,7,Maule
7103,CUREPTO,71,7,Maule
7104,EMPEDRADO,71,7,Maule
7105,MAULE,71,7,Maule
7106,PELARCO,71,7,Maule
7107,PENCAHUE,71,7,Maule
7108,RÍO CLARO,71,7,Maule
7109,SAN CLEMENTE,71,7,Maule
7110,SAN RAFAEL,71,7,Maule
7201,CAUQUENES,72,7,Maule
7202,CHANCO,72,7,Maule
7203,PELLUHUE,72,7,Maule
7301,CURICÓ,73,7,Maule
7302,HUALAÑÉ,73,7,Maule
7303,LICANTÉN,73,7,Maule
7304,MOLINA,73,7,Maule
7305,RAUCO,73,7,Maule
7306,ROMERAL,73,7,Maule
7307,SAGRADA FAMILIA,73,7,Maule
7308,TENO,73,7,Maule
7309,VICHUQUÉN,73,7,Maule
7401,LINARES,74,7,Maule
7402,COLBÚN,74,7,Maule
7403,LONGAVÍ,74,7,Maule
7404,PARRAL,74,7,Maule
7405,RETIRO,74,7,Maule
7406,SAN JAVIER,74,7,Maule
7407,VILLA ALEGRE,74,7,Maule
7408,YERBAS BUENAS,74,7,Maule
8101,CONCEPCIÓN,81,8,Biobío
8102,CORONEL,81,8,Biobío
8103,CHIGUAYANTE,81,8,Biobío
8104,FLORIDA,81,8,Biobío
8105,HUALQUI,81,8,Biobío
8106,LOTA,81,8,Biobío
8107,PENCO,81,8,Biobío
8108,SAN PEDRO DE LA PAZ,81,8,Biobío
8109,SANTA JUANA,81,8,Biobío
8110,TALCAHUANO,81,8,Biobío
8111,TOMÉ,81,8,Biobío
8112,HUALPÉN,81,8,Biobío
8201,LEBU,82,8,Biobío
8202,ARAUCO,82,8,Biobío
8203,CAÑETE,82,8,Biobío
8204,CONTULMO,82,8,Biobío
8205,CURANILAHUE,82,8,Biobío
8206,LOS ÁLAMOS,82,8,Biobío
8207,TIRÚA,82,8,Biobío
